Open,Close,High,Low,Time,Volume
1.32587,1.32807,1.32884,1.32418,2014.08.21 00:00:00,64806
1.32807,1.32375,1.32964,1.32205,2014.08.22 00:00:00,71494
1.31929,1.31915,1.32106,1.31837,2014.08.25 00:00:00,51318
1.31914,1.31672,1.32145,1.31644,2014.08.26 00:00:00,67033
1.31676,1.31925,1.32096,1.31524,2014.08.27 00:00:00,72666
1.31925,1.31813,1.32206,1.31596,2014.08.28 00:00:00,74058
1.31811,1.31317,1.3196,1.31316,2014.08.29 00:00:00,68193
1.31262,1.3128,1.31453,1.31189,2014.09.01 00:00:00,40116
1.31279,1.31329,1.31365,1.311,2014.09.02 00:00:00,66848
1.31329,1.31499,1.31598,1.3122,2014.09.03 00:00:00,74237
1.31498,1.29434,1.31538,1.29199,2014.09.04 00:00:00,106862
1.29435,1.295,1.29879,1.29217,2014.09.05 00:00:00,91312
1.29526,1.28944,1.29588,1.28815,2014.09.08 00:00:00,83981
1.28933,1.29372,1.29571,1.28592,2014.09.09 00:00:00,101207
1.29381,1.29166,1.29626,1.28835,2014.09.10 00:00:00,109233
1.29167,1.29231,1.29516,1.28969,2014.09.11 00:00:00,95194
1.29228,1.29616,1.29791,1.29085,2014.09.12 00:00:00,96122
1.29712,1.29396,1.29712,1.29084,2014.09.15 00:00:00,67068
1.29401,1.29592,1.29948,1.29221,2014.09.16 00:00:00,135534
1.2961,1.28647,1.29812,1.28518,2014.09.17 00:00:00,108677
1.28648,1.29224,1.29302,1.28344,2014.09.18 00:00:00,103282
1.29227,1.28281,1.29287,1.28271,2014.09.19 00:00:00,110129
1.283,1.28492,1.28675,1.2816,2014.09.22 00:00:00,79012
1.28493,1.28462,1.2901,1.28424,2014.09.23 00:00:00,86194
1.28462,1.278,1.28636,1.2774,2014.09.24 00:00:00,90469
1.27799,1.27502,1.27831,1.26967,2014.09.25 00:00:00,116917
1.27503,1.26833,1.27605,1.26767,2014.09.26 00:00:00,100580
1.26815,1.26849,1.27145,1.26634,2014.09.29 00:00:00,97023
1.26848,1.26304,1.27022,1.25709,2014.09.30 00:00:00,118442
1.26305,1.2622,1.26395,1.25833,2014.10.01 00:00:00,121196
1.26219,1.26687,1.26986,1.26136,2014.10.02 00:00:00,148767
1.26687,1.25163,1.26745,1.25003,2014.10.03 00:00:00,109931
1.25102,1.26547,1.26744,1.25087,2014.10.06 00:00:00,103930
